mountain,mountainLabel,coordinates,elevation,rockMaterialLabel
http://www.wikidata.org/entity/Q660633,Monte Arci,Point(8.745 39.777777777),812,вулканические горные породы
http://www.wikidata.org/entity/Q663646,Q663646,Point(-53.0165 2.3848),635,гранит
http://www.wikidata.org/entity/Q663646,Q663646,Point(-53.017777777 2.390833333),635,гранит
http://www.wikidata.org/entity/Q667502,Миджер,Point(-123.50416667 50.63166667),2650,андезит
http://www.wikidata.org/entity/Q668321,Pizzo Badile,Point(9.586111 46.294722),3308,гранит
http://www.wikidata.org/entity/Q668410,Grimming,Point(14.016944444 47.520555555),2351,известняк
http://www.wikidata.org/entity/Q910959,Bretterspitze,Point(10.461487 47.333033305),2608,доломит
http://www.wikidata.org/entity/Q911645,Йизера,Point(15.25926948 50.83393822),1122,гранит
http://www.wikidata.org/entity/Q917040,Devil's Peak,Point(18.439263888 -33.954752777),1002,песчаник
http://www.wikidata.org/entity/Q924799,Mont Chauffé,Point(6.76055556 46.30944444),2093,известняк
http://www.wikidata.org/entity/Q925252,Хаф-Доум,Point(-119.533166666 37.746),2693,гранит
http://www.wikidata.org/entity/Q930695,Аллигатор Лэйк,Point(-135.426388888 60.389722222),2217,базальт
http://www.wikidata.org/entity/Q931485,Таапака,Point(-69.5075 -18.112777777),5860,андезит
http://www.wikidata.org/entity/Q932032,Poledník,Point(13.39522222 49.06416667),1315,гнейс
http://www.wikidata.org/entity/Q937130,Trou au Natron,Point(16.5675 20.975),2450,трахит
http://www.wikidata.org/entity/Q937424,Mentolat,Point(-73.075833333 -44.696666666),1620,андезит
http://www.wikidata.org/entity/Q937996,Mont Yamaska,Point(-72.8719 45.4569),411,магматические горные породы
http://www.wikidata.org/entity/Q938010,Mont Granier,Point(5.92527778 45.46472222),1933,известняк
http://www.wikidata.org/entity/Q940121,Sollipulli,Point(-71.52 -38.975),2282,Дацит
http://www.wikidata.org/entity/Q940545,Námafjall,Point(-16.823358682 65.636197344),482,палагонит
http://www.wikidata.org/entity/Q594387,Бейкер,Point(-121.8132008 48.7773426),3286,андезит
http://www.wikidata.org/entity/Q594885,Яманота,Point(-69.940277777 12.487222222),188,Диабаз
http://www.wikidata.org/entity/Q594885,Яманота,Point(-69.940277777 12.487222222),188,Долерит
http://www.wikidata.org/entity/Q599722,Монте Каро,Point(0.343121075 40.803130113),1442,доломит
http://www.wikidata.org/entity/Q607032,Grand Pic de la Lauzière,Point(6.36638889 45.45916667),2829,гранит
http://www.wikidata.org/entity/Q607078,Серро-Негро,Point(-86.7032877 12.5078224),728,базальт
http://www.wikidata.org/entity/Q607196,Сан-Кристобаль,Point(-87.0 12.7),1745,андезит
http://www.wikidata.org/entity/Q607932,Heimaklettur,Point(-20.263049933 63.449141854),283,вулканические горные породы
http://www.wikidata.org/entity/Q607932,Heimaklettur,Point(-20.26 63.45),283,вулканические горные породы
http://www.wikidata.org/entity/Q613740,Habicht,Point(11.289444444 47.043611111),3277,кристаллические сланцы
