mountain,mountainLabel,area,countryLabel,rockMaterialLabel
http://www.wikidata.org/entity/Q8344227,Cerro Baúl,8,Перу,
http://www.wikidata.org/entity/Q8348804,La Garma cave complex,100.07,Испания,
http://www.wikidata.org/entity/Q8538033,Maigmó,1280,Испания,
http://www.wikidata.org/entity/Q10296549,Žákova hora,39.0013,Чехия,
http://www.wikidata.org/entity/Q10332055,Monte da Guia,3.8316,Португалия,
http://www.wikidata.org/entity/Q10425602,Balsberget,0.872,Швеция,
http://www.wikidata.org/entity/Q10425602,Balsberget,240.557,Швеция,
http://www.wikidata.org/entity/Q10425602,Balsberget,286.49,Швеция,
http://www.wikidata.org/entity/Q10425602,Balsberget,287.37,Швеция,
http://www.wikidata.org/entity/Q10430130,Bispbergs klack,0,Швеция,
http://www.wikidata.org/entity/Q10430130,Bispbergs klack,47.156,Швеция,
http://www.wikidata.org/entity/Q10430130,Bispbergs klack,53.91,Швеция,
http://www.wikidata.org/entity/Q10430130,Bispbergs klack,53.92,Швеция,
http://www.wikidata.org/entity/Q10474967,Djurmoklack,0.16,Швеция,
http://www.wikidata.org/entity/Q10474967,Djurmoklack,216.738,Швеция,
http://www.wikidata.org/entity/Q10474967,Djurmoklack,234.35,Швеция,
http://www.wikidata.org/entity/Q10474967,Djurmoklack,234.52,Швеция,
http://www.wikidata.org/entity/Q10624826,Perävaara,0.01,Швеция,
http://www.wikidata.org/entity/Q10624826,Perävaara,0.1,Швеция,
http://www.wikidata.org/entity/Q10647907,Pålsundsberget,0,Швеция,
http://www.wikidata.org/entity/Q10647907,Pålsundsberget,0.41,Швеция,
http://www.wikidata.org/entity/Q10723816,Ytterberg,78,Швеция,
http://www.wikidata.org/entity/Q11052488,Ланшань,6200,Китай,
http://www.wikidata.org/entity/Q11052488,Ланшань,6600,Китай,
http://www.wikidata.org/entity/Q11920115,Vlček,59.5368,Чехия,
http://www.wikidata.org/entity/Q11648027,Kinkeizan,8.3,Япония,
http://www.wikidata.org/entity/Q11648027,Kinkeizan,6008,Япония,
http://www.wikidata.org/entity/Q11726969,Hotem HaCarmel,486,Израиль,
http://www.wikidata.org/entity/Q11878646,Podhorni vrch,31.9426,Чехия,
http://www.wikidata.org/entity/Q12576394,Кызылауызский ледник,4.8,Казахстан,
http://www.wikidata.org/entity/Q11952894,Tossal dels Qualls,9.93,Испания,
http://www.wikidata.org/entity/Q12021021,Huštýn,11.9002,Чехия,
http://www.wikidata.org/entity/Q12079974,Babyna Hora,7.4,Украина,
http://www.wikidata.org/entity/Q12099461,Danylova mountain,11.2,Украина,
http://www.wikidata.org/entity/Q12139963,Перчем,4.6,Украина,
http://www.wikidata.org/entity/Q12140438,Пивиха,165.2,Украина,
http://www.wikidata.org/entity/Q12150998,Sviata Hora,186,Украина,
http://www.wikidata.org/entity/Q12161784,Tokmak-Mohyla,3,Украина,
http://www.wikidata.org/entity/Q12167839,Крестовая гора,7,Россия,
http://www.wikidata.org/entity/Q12285030,Lozenska Mountain,80,Болгария,
http://www.wikidata.org/entity/Q12393493,Monte Faro,2999.36423,Испания,
http://www.wikidata.org/entity/Q12484828,Mount Sahuai,18620,Индонезия,
http://www.wikidata.org/entity/Q12504054,Mountain Sewu Geopark,1802,Индонезия,
http://www.wikidata.org/entity/Q12771872,Q12771872,4.46,Словакия,
